,Title,Production company,Cast and crew,genres
408,Ready or Not,Fox Searchlight Pictures,"Matt Bettinelli-Olpin, Tyler Gillett (director); Guy Busick, R. Christopher Murphy (screenplay); Samara Weaving, Adam Brody, Mark O'Brien, Henry Czerny, Andie MacDowell",Horror Thriller Mystery Comedy
409,Angel Has Fallen,Lionsgate,"Ric Roman Waugh (director); Creighton Rothenberger, Katrin Benedikt (screenplay); Gerard Butler, Morgan Freeman, Jada Pinkett Smith, Nick Nolte, Lance Reddick",Action Thriller
410,Brittany Runs a Marathon,Amazon Studios,"Paul Downs Colaizzo (director/screenplay); Jillian Bell, Michaela Watkins, Utkarsh Ambudkar, Lil Rel Howery, Micah Stock",Drama Comedy
411,Overcomer,TriStar Pictures / Sony Affirm,"Alex Kendrick (director/screenplay); Stephen Kendrick (screenplay); Alex Kendrick, Priscilla Shirer, Ben Davies, Shari Rigby, Jack Sterner",Drama
412,Jacob's Ladder,Vertical Entertainment / LD Entertainment,"David M. Rosenthal (director); Jeff Buhler, Sarah Thorp (screenplay); Michael Ealy, Jesse Williams, Nicole Beharie",Drama Mystery Horror
413,Burn,Yale Productions / Hopscotch Films,"Mike Gan (director/screenplay); Tilda Cobham-Hervey, Suki Waterhouse, Harry Shum Jr., Shiloh Fernandez, Josh Hutcherson",Thriller
414,Official Secrets,IFC Films,"Gavin Hood (director/screenplay); Gregory Bernstein, Sara Bernstein (screenplay); Keira Knightley, Matt Smith, Matthew Goode, Adam Bakri, Rhys Ifans, Ralph Fiennes",Drama Thriller History
415,Don't Let Go,Blumhouse Productions / Briarcliff Entertainment,"Jacob Aaron Estes (director); Jacob Aaron Estes (screenplay); Jacob Aaron Estes, Drew Daywalt (story); David Oyelowo, Storm Reid, Byron Mann, Mykelti Williamson",Science Fiction Thriller Mystery Crime
416,Itsy Bitsy,Shout! Studios,"Micah Gallo (director); Jason Alvino, Byran Dick, Micah Gallo (screenplay); Bruce Davison, Denise Crosby, Elizabeth Roberts, Arman Darbo, Treva Etienne, Eileen Dietz, Grace Shen",Horror Thriller
417,The Fanatic,The Wonderfilm Media Corporation / Daniel Grodnik Productions,"Fred Durst (director/screenplay), Dave Bekerman (screenplay); John Travolta, Devon Sawa, Ana Golja, Jacob Grodnik, James Paxton, Jeff Chase, Luis Da Silva",Thriller Crime
418,It Chapter Two,Warner Bros. Pictures / New Line Cinema,"Andy Muschietti (director); Gary Dauberman (screenplay); James McAvoy, Jessica Chastain, Bill Hader, Isaiah Mustafa, Jay Ryan, James Ransone, Andy Bean, Jaeden Martell, Sophia Lillis, Finn Wolfhard, Chosen Jacobs, Jeremy Ray Taylor, Jack Dylan Grazer, Wyatt Oleff, Bill Skarsgård",Horror Fantasy
419,Satanic Panic,RLJE Films / Fangoria / Aperture Ent.,"Chelsea Stardust (director); Grady Hendrix (screenplay); Hayley Griffith, Ruby Modine, Arden Myrin, A. J. Bowen, Jordan Ladd, Rebecca Romijn, Jerry O'Connell, Hannah Stocking",Horror Comedy
420,The Obituary of Tunde Johnson,Zgreen Entertainment,"Ali LeRoi (director); Stanley Kalu (screenplay); Steven Silver, Nicola Peltz",
421,The Goldfinch,Warner Bros. Pictures / Amazon Studios,"John Crowley (director); Peter Straughan (screenplay); Ansel Elgort, Nicole Kidman, Oakes Fegley, Aneurin Barnard, Finn Wolfhard, Sarah Paulson, Luke Wilson, Jeffrey Wright",Drama
422,Hustlers,STX Entertainment,"Lorene Scafaria (director/screenplay); Constance Wu, Jennifer Lopez, Julia Stiles, Keke Palmer, Lili Reinhart, Lizzo, Cardi B",Drama Comedy Crime
423,The Sound of Silence,IFC Films,"Michael Tyburski (director/screenplay); Ben Nabors (screenplay); Rashida Jones, Peter Sarsgaard, Tony Revolori, Austin Pendleton",Drama
424,Monos,Neon / Stela Cine / Participant Media,"Alejandro Landes (director); Alejandro Landes, Alexis Dos Santos (screenplay); Julianne Nicholson, Moisés Arias",Drama Thriller
425,Tall Girl,Netflix,"Nzingha Stewart (director); Sam Wolfson (screenplay); Ava Michelle, Griffin Gluck, Luke Eisner, Sabrina Carpenter, Paris Berelc",Comedy Drama Romance
426,Polaroid,Dimension Films / Vertigo Entertainment,"Lars Klevberg (director); Blair Butler (screenplay); Kathryn Prescott, Grace Zabriskie, Samantha Logan, Tyler Young, Javier Botet, Katie Stevens, Madelaine Petsch",Horror Thriller Mystery
427,Ad Astra,20th Century Fox / Regency Enterprises / Plan B Entertainment,"James Gray (director/screenplay); Ethan Gross (screenplay); Brad Pitt, Tommy Lee Jones, Ruth Negga, Liv Tyler, Donald Sutherland, John Ortiz, Lisa Gay Hamilton, Freda Foh Shen, Natasha Lyonne",Science Fiction Drama
428,Downton Abbey,Focus Features / Perfect World Pictures / Carnival Films,"Michael Engler (director); Julian Fellowes (screenplay); Hugh Bonneville, Jim Carter, Michelle Dockery, Elizabeth McGovern, Maggie Smith, Imelda Staunton, Penelope Wilton",Drama History
429,Rambo: Last Blood,Lionsgate / Millennium Films,"Adrian Grunberg (director); Sylvester Stallone, Matt Cirulnick (screenplay); Sylvester Stallone, Adriana Barraza, Paz Vega, Yvette Monreal, Sergio Peris-Mencheta, Oscar Jaenada, Joaquín Cosío",Action Thriller Drama
430,Bloodline,Blumhouse Productions / Momentum Pictures,"Henry Jacobson (director); Avra Fox-Lerne, Henry Jacobson, Will Honley (screenplay); Seann William Scott, Mariela Garriga, Dale Dickey, Kevin Carroll",Thriller Crime Horror
431,Running with the Devil,Patriot Pictures,"Jason Cabell (director/screenplay); Nicolas Cage, Laurence Fishburne",Thriller Drama Crime
432,Fractured,Netflix,"Brad Anderson (director); Alan B. McElroy (screenplay); Sam Worthington, Lily Rabe, Stephen Tobolowsky",Thriller
433,Perspective,Wicked Pictures,"Bree Mills (director); Angela White, Seth Gamble, Michael Vega, Derrick Pierce",
434,Abominable,Universal Pictures / DreamWorks Animation / Pearl Studio,"Jill Culton (director/screenplay); Todd Wilderman (co-director); Chloe Bennet, Albert Tsai, Tenzing Norgay Trainor, Eddie Izzard, Sarah Paulson",Animation Adventure Comedy Family
435,The Laundromat,Netflix,"Steven Soderbergh (director); Scott Z. Burns (screenplay); Meryl Streep, Gary Oldman, Antonio Banderas, Jeffrey Wright, Robert Patrick, David Schwimmer, Sharon Stone",Drama Crime Comedy
436,Judy,Roadside Attractions / LD Entertainment / Pathé,"Rupert Goold (director); Tom Edge (screenplay); Renée Zellweger, Jessie Buckley, Finn Wittrock, Rufus Sewell, Michael Gambon",Drama
437,Prey,Blumhouse Productions / Image Nation,"Franck Khalfoun (director); David Coggeshall, Franck Khalfoun (screenplay); Logan Miller, Kristine Froseth",Action Crime Comedy
438,Joker,Warner Bros. Pictures / Village Roadshow Pictures / DC Films,"Todd Phillips (director/screenplay); Scott Silver (screenplay); Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Glenn Fleshler, Bill Camp, Shea Whigham, Marc Maron",Crime Thriller Drama
439,Lucy in the Sky,Fox Searchlight Pictures,"Noah Hawley (director/screenplay); Brian C. Brown, Elliott DiGuiseppi (screenplay); Natalie Portman, Jon Hamm, Zazie Beetz, Dan Stevens, Colman Domingo, Ellen Burstyn",Drama
440,Dolemite Is My Name,Netflix,"Craig Brewer (director); Scott Alexander and Larry Karaszewski (screenplay); Eddie Murphy, Keegan-Michael Key, Mike Epps, Craig Robinson, Tituss Burgess, Da'Vine Joy Randolph, Wesley Snipes",Drama Comedy History
441,In the Tall Grass,Netflix,"Vincenzo Natali (director/screenplay); Patrick Wilson, Harrison Gilbertson, Rachel Wilson",Horror Drama Thriller
442,Low Tide,A24 / DirecTV Cinema,"Kevin McMullin (director/screenplay); Keean Johnson, Jaeden Martell, Alex Neustaedter, Kristine Froseth, Shea Whigham",Drama Thriller
443,Wrinkles the Clown,Magnet Releasing,"Michael Beach Nichols (director); Michael Beach Nichols, Christopher K. Walker (screenplay)",Documentary Horror
444,Little Monsters,Neon / Hulu,"Abe Forsythe (director/screenplay); Lupita Nyong'o, Alexander England, Josh Gad",Horror Comedy
445,Gemini Man,Paramount Pictures / Skydance Media / Jerry Bruckheimer Films,"Ang Lee (director); David Benioff, Billy Ray, Darren Lemke (screenplay); Will Smith, Mary Elizabeth Winstead, Clive Owen, Benedict Wong",Action Drama Science Fiction Thriller
446,The Addams Family,Metro-Goldwyn-Mayer / Universal Pictures / Bron Creative,"Conrad Vernon, Greg Tiernan (directors); Matt Lieberman, Pamela Pettler (screenplay); Oscar Isaac, Charlize Theron, Chloë Grace Moretz, Finn Wolfhard, Nick Kroll, Snoop Dogg, Bette Midler, Allison Janney",Animation Comedy Family Fantasy
447,The King,Netflix / Plan B Entertainment,"David Michôd (director/screenplay); Joel Edgerton (screenplay); Timothée Chalamet, Joel Edgerton, Sean Harris, Lily-Rose Depp, Robert Pattinson, Ben Mendelsohn",Drama History War
448,Jexi,Lionsgate / CBS Films / Entertainment One,"Jon Lucas, Scott Moore (directors/screenplay); Adam Devine, Rose Byrne, Alexandra Shipp, Ron Funches, Charlyne Yi, Wanda Sykes, Justin Hartley, Kid Cudi, Michael Peña",Comedy
449,El Camino: A Breaking Bad Movie,Netflix,"Vince Gilligan (director/screenplay); Aaron Paul, Jesse Plemons, Scott MacArthur, Scott Shepherd, Robert Forster",Crime Drama Thriller Action
450,Maleficent: Mistress of Evil,Walt Disney Pictures,"Joachim Rønning (director); Linda Woolverton, Noah Harpster, Micah Fitzerman-Blue (screenplay); Angelina Jolie, Elle Fanning, Michelle Pfeiffer, Chiwetel Ejiofor, Sam Riley, Harris Dickinson, Ed Skrein, Imelda Staunton, Juno Temple, Lesley Manville",Fantasy Family Adventure
451,Zombieland: Double Tap,Columbia Pictures,"Ruben Fleischer (director); Rhett Reese, Paul Wernick, David Callaham (screenplay); Woody Harrelson, Jesse Eisenberg, Emma Stone, Abigail Breslin, Rosario Dawson, Zoey Deutch, Luke Wilson",Horror Action Comedy
452,Jojo Rabbit,Fox Searchlight Pictures,"Taika Waititi (director/screenplay); Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson, Taika Waititi, Rebel Wilson, Stephen Merchant, Alfie Allen, Sam Rockwell",Comedy War Drama
453,The Lighthouse,A24 / Regency Enterprises,"Robert Eggers (director/screenplay); Max Eggers (screenplay); Willem Dafoe, Robert Pattinson",Drama Fantasy Thriller Horror
454,Wounds,Hulu / Netflix / Annapurna Pictures,"Babak Anvari (director/screenplay); Armie Hammer, Dakota Johnson, Zazie Beetz",Horror Drama Mystery Thriller
455,Black and Blue,Screen Gems,"Deon Taylor (director); Peter A. Dowling (screenplay); Naomie Harris, Tyrese Gibson, Frank Grillo, Mike Colter, Reid Scott, Beau Knapp",Action Thriller
456,The Current War,101 Studios / Lantern Entertainment,"Alfonso Gomez-Rejon (director); Michael Mitnick (screenplay); Benedict Cumberbatch, Michael Shannon, Katherine Waterston, Tom Holland, Tuppence Middleton, Matthew Macfadyen, Nicholas Hoult",Drama History
457,Countdown,STX Entertainment,"Justin Dec (director/screenplay); Elizabeth Lail, Peter Facinelli, Anne Winters, Talitha Bateman, Tichina Arnold, P. J. Byrne",Horror Thriller
458,The Kill Team,A24,"Dan Krauss (director); Nat Wolff, Alexander Skarsgård",Drama Action Thriller
459,The Gallows Act II,Blumhouse Productions / Lionsgate,"Chris Lofing, Travis Cluff (director/screenplay); Chris Milligan, Ema Horvath, Brittany Falardeau",Horror Thriller
460,Terminator: Dark Fate,Paramount Pictures / Skydance Media / 20th Century Fox / Tencent Pictures,"Tim Miller (director); David S. Goyer, Justin Rhodes, Billy Ray (screenplay); Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis, Natalia Reyes, Gabriel Luna, Diego Boneta",Action Adventure Science Fiction
461,Motherless Brooklyn,Warner Bros. Pictures,"Edward Norton (director/screenplay); Edward Norton, Bruce Willis, Gugu Mbatha-Raw, Bobby Cannavale, Cherry Jones, Alec Baldwin, Willem Dafoe",Drama Thriller
462,The Irishman,Netflix / TriBeCa Productions,"Martin Scorsese (director); Steven Zaillian (screenplay); Robert De Niro, Al Pacino, Joe Pesci, Ray Romano, Bobby Canavale, Anna Paquin, Stephen Graham, Harvey Keitel",Crime Drama History
463,Harriet,Focus Features,"Kasi Lemmons (director/screenplay); Gregory Allen Howard (screenplay); Cynthia Erivo, Leslie Odom Jr., Joe Alwyn, Janelle Monáe",History Drama
464,Arctic Dogs,Assemblage Entertainment,"Aaron Woodley (director/screenplay); Bob Barlen, Cal Brunker (screenplay); Jeremy Renner, James Franco, Heidi Klum, Alec Baldwin, Omar Sy, Anjelica Huston, John Cleese",Animation Adventure Comedy
465,Christmas Coupon,Crystal Creek Media,"Daniel Knudsen (director/screenplay); Courtney Mathews, Aaron Noble, Bobby Laenen, Sheena Monnin, Daniel Knudsen, Napoleon",Romance Family
466,Marriage Story,Netflix,"Noah Baumbach (director/screenplay); Scarlett Johansson, Adam Driver, Laura Dern, Alan Alda, Ray Liotta, Julie Hagerty, Merritt Wever",Drama
467,Doctor Sleep,Warner Bros. Pictures / Intrepid Pictures,"Mike Flanagan (director/screenplay); Ewan McGregor, Rebecca Ferguson, Kyliegh Curran, Cliff Curtis, Carl Lumbly, Zahn McClarnon, Emily Alyn Lind, Bruce Greenwood, Jocelin Donahue",Horror Drama Fantasy Thriller
468,Last Christmas,Universal Pictures / Perfect World Pictures,"Paul Feig (director), Emma Thompson, Bryony Kimmings (screenplay); Emilia Clarke, Henry Golding, Michelle Yeoh, Emma Thompson",Comedy Romance Drama
469,Playing with Fire,Paramount Players / Nickelodeon Movies / Walden Media,"Andy Fickman (director); Dan Ewen, Matt Lieberman (screenplay); John Cena, Keegan-Michael Key, John Leguizamo, Brianna Hildebrand, Dennis Haysbert, Judy Greer",Comedy Family
470,Midway,Lionsgate,"Roland Emmerich (director); Wes Tooke (screenplay); Ed Skrein, Patrick Wilson, Luke Evans, Aaron Eckhart, Nick Jonas, Mandy Moore, Dennis Quaid, Woody Harrelson",War History Action Drama
471,Klaus,Netflix,"Sergio Pablos (director); Zach Lewis, Jim Mahoney (screenplay); J. K. Simmons, Jason Schwartzman, Rashida Jones, Will Sasso, Neda Margrethe Labba, Sergio Pablos, Norm Macdonald, Joan Cusack",Animation Family Adventure Comedy
472,Honey Boy,Amazon Studios,"Alma Har'el (director); Shia LaBeouf (screenplay); Shia LaBeouf, Lucas Hedges, Noah Jupe, FKA Twigs",Drama
473,Lady and the Tramp,Walt Disney Pictures / Disney+,"Charlie Bean (director); Andrew Bujalski, Kari Granlund (screenplay); Tessa Thompson, Justin Theroux, Kiersey Clemons, Thomas Mann, Janelle Monáe, F. Murray Abraham, Yvette Nicole Brown, Adrian Martinez, Ken Jeong, Sam Elliott",Romance Comedy Family
474,Noelle,Walt Disney Pictures / Disney+,"Marc Lawrence (director/screenplay); Anna Kendrick, Bill Hader, Kingsley Ben-Adir, Billy Eichner, Julie Hagerty, Shirley MacLaine",Family Comedy Fantasy
475,Ford v Ferrari,20th Century Fox / Chernin Entertainment,"James Mangold (director); Jez Butterworth, John-Henry Butterworth, Jason Keller (screenplay); Matt Damon, Christian Bale, Jon Bernthal, Caitriona Balfe, Tracy Letts, Josh Lucas, Noah Jupe, Remo Girone, Ray McKinnon",Drama History
476,Charlie's Angels,Columbia Pictures,"Elizabeth Banks (director/screenplay); Kristen Stewart, Naomi Scott, Ella Balinska, Elizabeth Banks, Djimon Hounsou, Sam Claflin, Noah Centineo, Nat Faxon, Patrick Stewart",Action Adventure Comedy
477,The Good Liar,Warner Bros. Pictures / New Line Cinema / Bron Studios,"Bill Condon (director); Jeffrey Hatcher (screenplay); Ian McKellen, Helen Mirren, Russell Tovey, Jim Carter",Drama Mystery Crime
478,The Report,Amazon Studios,"Scott Z. Burns (director/screenplay); Adam Driver, Annette Bening, Ted Levine, Michael C. Hall, Tim Blake Nelson, Corey Stoll, Maura Tierney, Jon Hamm",Drama Thriller
479,Waves,A24,"Trey Edward Shults (director/screenplay); Kelvin Harrison Jr., Lucas Hedges, Taylor Russell, Alexa Demie, Renée Elise Goldsberry, Sterling K. Brown",Romance Drama
480,Frozen II,Walt Disney Pictures / Walt Disney Animation Studios,"Chris Buck, Jennifer Lee (directors); Jennifer Lee (screenplay); Idina Menzel, Kristen Bell, Jonathan Groff, Josh Gad, Sterling K. Brown, Evan Rachel Wood, Alfred Molina, Martha Plimpton, Jason Ritter, Rachel Matthews, Jeremy Sisto, Ciarán Hinds",Animation Family Adventure Comedy Fantasy
481,A Beautiful Day in the Neighborhood,TriStar Pictures / Tencent Pictures / Big Beach,"Marielle Heller (director); Micah Fitzerman-Blue, Noah Harpster (screenplay); Tom Hanks, Matthew Rhys, Susan Kelechi Watson, Chris Cooper",Drama
482,21 Bridges,STX Entertainment,"Brian Kirk (director); Matthew Michael Carnahan, Adam Mervis (screenplay); Chadwick Boseman, Sienna Miller, Stephan James, Keith David, Taylor Kitsch, J. K. Simmons",Crime Action Drama
483,Dark Waters,Focus Features / Participant,"Todd Haynes (director); Mario Correa, Matthew Michael Carnahan (screenplay); Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Camp, Victor Garber, Mare Winningham, William Jackson Harper, Bill Pullman",Drama Thriller
484,Knives Out,Lionsgate / Media Rights Capital,"Rian Johnson (director/screenplay); Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis, Michael Shannon, Don Johnson, Toni Collette, Lakeith Stanfield, Katherine Langford, Jaeden Martell, Christopher Plummer",Mystery Comedy Drama Crime
485,Queen & Slim,Universal Pictures / Bron Creative,"Melina Matsoukas (director); Lena Waithe (screenplay); Daniel Kaluuya, Jodie Turner-Smith, Bokeem Woodbine, Chloë Sevigny, Flea, Sturgill Simpson, Indya Moore",Drama Romance Crime
486,The Two Popes,Netflix,"Fernando Meirelles (director); Anthony McCarten (screenplay); Anthony Hopkins, Jonathan Pryce",Drama Comedy History
487,Playmobil: The Movie,Lionsgate / STX Entertainment,"Lino DiSalvo (director), Ramaa Mosley (co-director); Blaise Hemingway (screenplay); Anya Taylor-Joy, Daniel Radcliffe, Gabriel Bateman, Jim Gaffigan, Meghan Trainor, Adam Lambert",Family Animation Comedy Adventure
488,The Aeronauts,Amazon Studios,"Tom Harper (director); Jack Thorne (screenplay); Felicity Jones, Eddie Redmayne, Himesh Patel, Tom Courtenay",Adventure Drama Romance
489,A Million Little Pieces,Momentum Pictures / The Picture Company,"Sam Taylor-Johnson (director/screenplay); Aaron Taylor-Johnson (screenplay); Aaron Taylor-Johnson, Billy Bob Thornton, Odessa Young, Giovanni Ribisi, Juliette Lewis, Charlie Hunnam",Drama
490,Daniel Isn't Real,Samuel Goldwyn Films,"Adam Egypt Mortimer (director/screenplay); Brian DeLeeuw (screenplay); Miles Robbins, Patrick Schwarzenegger, Sasha Lane, Mary Stuart Masterson, Hannah Marks, Chukwudi Iwuji, Peter McRobbie",Fantasy Horror Mystery Thriller
491,Jumanji: The Next Level,Columbia Pictures,"Jake Kasdan (director/screenplay); Scott Rosenberg, Jeff Pinkner (screenplay); Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan, Nick Jonas, Awkwafina, Rory McCann, Alex Wolff, Morgan Turner, Ser'Darius Blain, Madison Iseman, Danny Glover, Danny DeVito",Adventure Comedy Fantasy
492,Richard Jewell,Warner Bros. Pictures / Malpaso Productions,"Clint Eastwood (director); Billy Ray (screenplay); Paul Walter Hauser, Sam Rockwell, Kathy Bates, Jon Hamm, Olivia Wilde",Drama Crime
493,Black Christmas,Universal Pictures / Blumhouse Productions,"Sophia Takal (director/screenplay); April Wolfe (screenplay); Imogen Poots, Lily Donoghue, Aleyse Shannon, Brittany O'Grady, Caleb Eberhardt, Cary Elwes",Horror Mystery Thriller
494,6 Underground,Netflix / Skydance Media,"Michael Bay (director); Rhett Reese, Paul Wernick (screenplay); Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Adria Arjona, Payman Maadi, Corey Hawkins, Ben Hardy, Dave Franco",Action Thriller
495,Bombshell,Lionsgate / Bron Creative / Annapurna Pictures,"Jay Roach (director); Charles Randolph (screenplay); Charlize Theron, Nicole Kidman, Margot Robbie, John Lithgow, Kate McKinnon, Connie Britton, Mark Duplass, Rob Delaney, Malcolm McDowell, Allison Janney",Drama
496,Uncut Gems,A24 / Netflix,"Safdie brothers (directors/screenplay); Ronald Bronstein (screenplay); Adam Sandler, Lakeith Stanfield, Julia Fox, Kevin Garnett, Idina Menzel, Eric Bogosian",Crime Thriller Drama
497,Seberg,Amazon Studios,"Benedict Andrews (director); Joe Shrapnel, Anna Waterhouse (screenplay); Kristen Stewart, Jack O'Connell, Margaret Qualley, Zazie Beetz, Vince Vaughn, Anthony Mackie",Thriller Drama
498,A Hidden Life,Fox Searchlight Pictures,"Terrence Malick (director/screenplay); August Diehl, Valerie Pachner, Matthias Schoenaerts",Drama War History
499,Star Wars: The Rise of Skywalker,Lucasfilm / Bad Robot Productions,"J. J. Abrams (director/screenplay), Chris Terrio (screenplay); Carrie Fisher, Mark Hamill, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Anthony Daniels, Naomi Ackie, Domhnall Gleeson, Richard E. Grant, Lupita Nyong'o, Keri Russell, Joonas Suotamo, Kelly Marie Tran, Ian McDiarmid, Billy Dee Williams",Action Adventure Science Fiction
500,Cats,Universal Pictures / Amblin Entertainment / Working Title Films,"Tom Hooper (director/screenplay); Lee Hall (screenplay); James Corden, Judi Dench, Jason Derulo, Idris Elba, Jennifer Hudson, Ian McKellen, Taylor Swift, Rebel Wilson, Ray Winstone, Francesca Hayward",Fantasy Comedy Drama
501,Togo,Walt Disney Pictures / Disney+,"Ericson Core (director); Tom Flynn (screenplay); Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl, Michael Gaston, Michael McElhatton, Jamie McShane, Michael Greyeyes, Thorbjørn Harr, Shaun Benson, Nikolai Nikolaeff",Drama Adventure History Family
502,Spies in Disguise,20th Century Fox / Blue Sky Studios / Chernin Entertainment,"Nick Bruno, Troy Quane (directors); Brad Copeland (screenplay); Will Smith, Tom Holland, Rashida Jones, Ben Mendelsohn, Reba McEntire, Rachel Brosnahan, Karen Gillan, DJ Khaled, Masi Oka",Animation Action Adventure Comedy
503,Little Women,Columbia Pictures / Regency Enterprises,"Greta Gerwig (director/screenplay); Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen, Laura Dern, Timothée Chalamet, Meryl Streep, Tracy Letts, Bob Odenkirk, James Norton, Louis Garrel, Chris Cooper",Drama Romance
504,1917,Universal Pictures / DreamWorks Pictures / Entertainment One,"Sam Mendes (director/screenplay); Krysty Wilson-Cairns (screenplay); George MacKay, Dean-Charles Chapman, Mark Strong, Andrew Scott, Richard Madden, Claire Duburcq, Colin Firth, Benedict Cumberbatch",War Drama
505,Just Mercy,Warner Bros. Pictures / Participant Media,"Destin Daniel Cretton (director/screenplay), Andrew Lanham (screenplay); Michael B. Jordan, Jamie Foxx, Brie Larson, Rob Morgan, Tim Blake Nelson, Rafe Spall, O'Shea Jackson Jr.",Drama
506,Clemency,Neon,"Chinonye Chukwu (director/screenplay); Alfre Woodard, Wendell Pierce, Aldis Hodge, Richard Schiff, Danielle Brooks",Drama
507,Apparition,Vertical Pictures,"Waymon Boone (director/screenplay); Mena Suvari, Kevin Pollak",Horror Thriller
